OLTP Datasource,Version,Datasource Type,Application Component,Delta,Real Time,EXMETHOD,Table For Extraction,Extractor Structure,Last Changed By ,Last Changed Date,Last Changed Time,TXTSH,TXTMD,TXTLG
0TCTWHMACT_TEXT,D,TEXT,TCT,,,D,RSSMACTIONTYPE,ROTEXTSTR1,SAP,18.07.2012,14:01:49,Trans. Type (WHM),Transaction Type (WHM),BW Statistics: Transaction Type (WHM)
0TCT_MON_IS_01,D,TRAN,TCT-MON,ADD,,F1,RSSM_EXTRAKTOR_SELECTIONS,RSMONSELEXT,SAP,18.07.2012,14:01:52,Data Slice,Data Slice (Requests in InfoCube),Data Slice (Requests in InfoCube)
0TCTREQUID_ATTR,A,ATTR,TCT-MON-IO,E,,F1,RSSM_EXTRAKTOR_REQUEST,RSMONREQEXT,DDIC,07.01.2025,22:46:09,Data Request (Attr.),Attributes for Data Request (GUID),Attributes for Data Request (GUID)
0TCTREQUID_ATTR,D,ATTR,TCT-MON-IO,E,,F1,RSSM_EXTRAKTOR_REQUEST,RSMONREQEXT,SAP,18.07.2012,14:01:36,Data Request (Attr.),Attributes for Data Request (GUID),Attributes for Data Request (GUID)
80BPARTNERH,A,HIER,DM-IO,,,F1,RSSH_HIERARCHY_TRANSFER,/BIC/CE80BPARTNERH,BEST,05.02.2025,05:13:20,,,
80PLANTH,A,HIER,DM-IO,,,F1,RSSH_HIERARCHY_TRANSFER,/BIC/CE80PLANTH,BEST,05.02.2025,05:16:03,,,
0TCTACOMPM_TEXT,D,TEXT,TCT,,,D,RSSBCOMPMODE,ROTEXTSTR1,SAP,18.07.2012,14:01:09,Validity Period,Hierarchy Validity Period Authorization,Hierarchy Validity Period Authorization
0TCTATYPE_TEXT,D,TEXT,TCT,,,D,RSSAUTHHIERTYPE,ROTEXTSTR1,SAP,18.07.2012,14:01:12,Type H Authoriztn,Type of Authorization: Hierarchy,Type of Authorization for a Hierarchy
0CB_DST_TEXT,D,TEXT,0BCT_CB_IO,,,D,RSREQUTYPE,ROTEXTSTR1,SAP,13.04.2011,15:56:18,DataSource Type Text,DataSource Type Text,DataSource Type Text
0TCTDATATYP_TEXT,A,TEXT,TCT-MON-IO,,,D,RSREQUTYPE,ROTEXTSTR1,DDIC,07.01.2025,22:45:59,Data Type,Data Type,"Data Type (Transaction Data, Master Data, Texts, Hier.)"
0TCTDATATYP_TEXT,D,TEXT,TCT-MON-IO,,,D,RSREQUTYPE,ROTEXTSTR1,SAP,18.07.2012,14:01:15,Data Type,Data Type,"Data Type (Transaction Data, Master Data, Texts, Hier.)"
0TCTPRCSTYP_TEXT,A,TEXT,TCT,,,V,RSPROCESSTYPEST,RSO_S_EXTR_0TCTPRCSTYP_TEXT,DDIC,07.01.2025,22:46:08,Process type - Text,Process type - Text,BW Meta Data: Process type - Text
0TCTPRCSTYP_TEXT,D,TEXT,TCT,,,V,RSPROCESSTYPEST,RSO_S_EXTR_0TCTPRCSTYP_TEXT,SAP,09.06.2010,15:50:21,Process type - Text,Process type - Text,BW Meta Data: Process type - Text
0TCTPRCSTAT_TEXT,A,TEXT,TCT,,,D,RSPC_STATE,ROTEXTSTR1,DDIC,07.01.2025,22:46:08,Process Status,Process Status Text,Process Status Text
0TCTPRCSTAT_TEXT,D,TEXT,TCT,,,D,RSPC_STATE,ROTEXTSTR1,SAP,09.06.2010,15:50:21,Process Status,Process Status Text,Process Status Text
0CB_DS_TEXT,D,TEXT,0BCT_CB_IO,,,V,RSOLTPSOURCET,ROXB520124,SAP,13.04.2011,15:56:18,DataSource Text,DataSource Text,DataSource Text
0TCTDSOURC_TEXT,A,TEXT,TCT,,,V,RSOLTPSOURCET,RSOLTPSOURCET,DDIC,07.01.2025,22:46:01,DataSource,DataSource,BW Metadata: DataSource
0TCTDSOURC_TEXT,D,TEXT,TCT,,,V,RSOLTPSOURCET,RSOLTPSOURCET,SAP,18.07.2012,14:01:16,DataSource,DataSource,BW Metadata: DataSource
0TCTDSOURC_ATTR,A,ATTR,TCT-MON-IO,,,V,RSOLTPSOURCE,RSOLTPSOURCE,DDIC,07.01.2025,22:46:00,DataSource (Attr.),Attributes for DataSource,Attributes for DataSource
0TCTDSOURC_ATTR,D,ATTR,TCT-MON-IO,,,V,RSOLTPSOURCE,RSOLTPSOURCE,SAP,18.07.2012,14:01:16,DataSource (Attr.),Attributes for DataSource,Attributes for DataSource
0TCTOBJVERS_TEXT,A,TEXT,TCT,,,D,RSOBJVERS,ROTEXTSTR1,DDIC,07.01.2025,22:46:06,Object Version,Object Version,BW Metadata: Object Version
0TCTOBJVERS_TEXT,D,TEXT,TCT,,,D,RSOBJVERS,ROTEXTSTR1,SAP,18.07.2012,14:01:29,Object Version,Object Version,BW Metadata: Object Version
0TCTLPRO_ATTR,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA_WRK_SP,RSO_S_EXTR_0TCTLPRO_ATTR,DDIC,07.01.2025,22:46:06,BW Object,BW Object,BW Workspace Meta Data: BW Transient Providers Attributes
0TCTLPRO_ATTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA_WRK_SP,RSO_S_EXTR_0TCTLPRO_ATTR,SAP,18.07.2012,14:26:22,BW Object,BW Object,BW Workspace Meta Data: BW Transient Providers Attributes
0TCTLPRO_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA_WRK_SP,RSO_S_EXTR_0TCTLPRO_TEXT,DDIC,07.01.2025,22:46:06,BW Object,BW Object,BW Workspace Meta Data: BW Transient Providers Text
0TCTLPRO_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA_WRK_SP,RSO_S_EXTR_0TCTLPRO_TEXT,SAP,18.07.2012,14:26:22,BW Object,BW Object,BW Workspace Meta Data: BW Transient Providers Text
0TCTWSP_ATTR,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA_WRK_SP,RSO_S_EXTR_0TCT_WSP,DDIC,07.01.2025,22:46:17,BW Object,BW Object,BW Workspace Meta Data: BW Object - Attributes
0TCTWSP_ATTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA_WRK_SP,RSO_S_EXTR_0TCT_WSP,SAP,18.07.2012,14:26:23,BW Object,BW Object,BW Workspace Meta Data: BW Object - Attributes
0TCTWSP_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA_WRK_SP,RSO_S_EXTR_WSP_TEXT,DDIC,07.01.2025,22:46:17,BW Object,BW Object,BW Meta Data: BW Object - Workspace Text
0TCTWSP_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA_WRK_SP,RSO_S_EXTR_WSP_TEXT,SAP,18.07.2012,14:26:24,BW Object,BW Object,BW Meta Data: BW Object - Workspace Text
0TCTAGGREG,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTAGGREG,SAP,18.07.2012,14:01:09,Aggregate,Aggregate,BW Metadata: Aggregate
0TCTAGGREG_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:10,Aggregates,Aggregates,BW Metadata - Aggregates
0TCTAPPL,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTAPPL,DDIC,07.01.2025,22:45:53,Appl. component,Application Component,BW Metadata: Application Component
0TCTAPPL,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTAPPL,SAP,18.07.2012,14:01:11,Appl. component,Application Component,BW Metadata: Application Component
0TCTAPPL_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:45:56,Appl. component,Application Component,BW Metadata: Application Component
0TCTAPPL_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:11,Appl. component,Application Component,BW Metadata: Application Component
0TCTBWOBJCT_ATTR,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTBWOBJCT,DDIC,07.01.2025,22:45:57,BW Object,BW Object,BW Meta Data: BW Object - Attributes
0TCTBWOBJCT_ATTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTBWOBJCT,SAP,09.06.2010,15:50:04,BW Object,BW Object,BW Meta Data: BW Object - Attributes
0TCTBWOBJCT_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:45:57,BW Object,BW Object,BW Meta Data: BW Object - Text
0TCTBWOBJCT_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,09.06.2010,15:50:05,BW Object,BW Object,BW Meta Data: BW Object - Text
0TCTCOMSTRU,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTCOMSTRU,SAP,18.07.2012,14:01:13,Comm. Struct.,Communication structure,BW Metadata: Communication Structure
0TCTCOMSTRU_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:13,Comm. Struct.,Communication Structure,BW Metadata: Communication Structure
0TCTCURTRAN,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTCURTRAN,SAP,18.07.2012,14:01:14,Cur. translation,Currency Translation Type,BW Metadata: Currency Translation Type
0TCTCURTRAN_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:14,Cur. translation,Currency Translation Type,BW Metadata: Currency Translation Type
0TCTIFAREA,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIFAREA,DDIC,07.01.2025,22:46:03,InfoArea,InfoArea,BW Metadata: InfoArea
0TCTIFAREA,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIFAREA,SAP,18.07.2012,14:01:17,InfoArea,InfoArea,BW Metadata: InfoArea
0TCTIFAREA_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:46:04,InfoArea,InfoArea,BW Metadata: InfoArea
0TCTIFAREA_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:18,InfoArea,InfoArea,BW Metadata: InfoArea
0TCTIFCUBE,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIFCUBE,SAP,18.07.2012,14:01:18,InfoCube,InfoCube,BW Metadata: InfoCube
0TCTIFCUBE_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:19,InfoCube,InfoCube,BW Metadata: InfoCube
0TCTIFSET,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIFSET,SAP,18.07.2012,14:01:19,InfoSet,InfoSet,BW Metadata: InfoSet
0TCTIFSETQ,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIFSETQ,SAP,18.07.2012,14:01:20,InfoSet Query,InfoSet Query,BW Metadata: InfoSet Query
0TCTIFSETQ_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:21,InfoSet Query,InfoSet Query,BW Metadata: InfoSet Query
0TCTIFSET_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:21,InfoSet,InfoSet,BW Metadata: InfoSet
0TCTIGRID,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIGRID,DDIC,07.01.2025,22:46:04,InfoPackage Group,InfoPackage Group,BW Metadata: InfoPackage Group
0TCTIGRID,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIGRID,SAP,18.07.2012,14:01:22,InfoPackage Group,InfoPackage Group,BW Metadata: InfoPackage Group
0TCTIGRID_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:46:04,InfoPackage Group,InfoPackage Group,BW Metadata: InfoPackage Group
0TCTIGRID_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:22,InfoPackage Group,InfoPackage Group,BW Metadata: InfoPackage Group
0TCTIOBJCAT,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIOBJCAT,SAP,18.07.2012,14:01:23, InfoObject Catalog, InfoObject Catalog,BW Metadata: InfoObject Catalog
0TCTIOBJCAT_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:23, InfoObject Catalog, InfoObject Catalog,BW Metadata:  InfoObject Catalog
0TCTIOBJNM,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIOBJNM,SAP,18.07.2012,14:01:24,InfoObject,InfoObject,BW Metadata: InfoObject
0TCTIOBJNM_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:25,InfoObject - Texts,InfoObject - Texts,BW Metadata: InfoObject - Texts
0TCTIPAKID,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIPAKID,DDIC,07.01.2025,22:46:05,InfoPackage,InfoPackage,BW Metadata: InfoPackage
0TCTIPAKID,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTIPAKID,SAP,18.07.2012,14:01:26,InfoPackage,InfoPackage,BW Metadata: InfoPackage
0TCTIPAKID_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:46:05,InfoPackage,InfoPackage,BW Metadata: InfoPackage
0TCTIPAKID_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:26,InfoPackage,InfoPackage,BW Metadata: InfoPackage
0TCTISOURC,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTISOURC,DDIC,07.01.2025,22:46:05,InfoSource,InfoSource,BW Metadata: InfoSource
0TCTISOURC,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTISOURC,SAP,18.07.2012,14:01:27,InfoSource,InfoSource,BW Metadata: InfoSource
0TCTISOURC_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:46:05,InfoSource,InfoSource,BW Metadata: InfoSource
0TCTISOURC_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:27,InfoSource,InfoSource,BW Metadata: InfoSource
0TCTMAPPING,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTMAPING,SAP,18.07.2012,14:01:28,Transfer Rules,Transfer Rules,BW Metadata: Transfer Rules
0TCTMAPPING_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:28,Transfer Rules,Transfer Rules,BW Metadata: Transfer Rules
0TCTODS,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTODS,SAP,18.07.2012,14:01:29,ODS,ODS,BW Metadata: ODS
0TCTODS_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:30,ODS,ODS,BW Metadata: ODS
0TCTOPENHUB_ATTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTOPENHUB,SAP,09.06.2010,15:50:19,Open Hub Destination,Open Hub Destination,BW Meta Data: Open Hub Destination - Attributes
0TCTOPENHUB_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,09.06.2010,15:50:20,Open Hub Destination,Open Hub Destination-Text,BW Meta Data: Open Hub Destination - Text
0TCTPRCSCHN_ATTR,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTPRCSCHN,DDIC,07.01.2025,22:46:07,Process Chain,Process Chain,BW Meta Data: Process Chain - Attributes
0TCTPRCSCHN_ATTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTPRCSCHN,SAP,09.06.2010,15:50:20,Process Chain,Process Chain,BW Meta Data: Process Chain - Attributes
0TCTPRCSCHN_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:46:07,Process Chain - Text,Process Chain - Text,BW Meta Data: Process Chain - Text
0TCTPRCSCHN_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,09.06.2010,15:50:21,Process Chain - Text,Process Chain - Text,BW Meta Data: Process Chain - Text
0TCTPRCSVAR_ATTR,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTPRCSVAR,DDIC,07.01.2025,22:46:08,Process Variant-Attr,Process Variant-Attribute,BW Meta Data: Process Variant-Attribute
0TCTPRCSVAR_ATTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTPRCSVAR,SAP,09.06.2010,15:50:21,Process Variant-Attr,Process Variant-Attribute,BW Meta Data: Process Variant-Attribute
0TCTPRCSVAR_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:46:09,Process Variant -Txt,Process Variant - Text,BW Meta Data: Process Variant - Text
0TCTPRCSVAR_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,09.06.2010,15:50:22,Process Variant -Txt,Process Variant - Text,BW Meta Data: Process Variant - Text
0TCTQUERID,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTQUERID,SAP,18.07.2012,14:01:31,Query,Query,BW Metadata: Query and Query Elements
0TCTQUERID_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:32,Query,Query,BW Metadata: Query and Query Elements
0TCTQUERY,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTQUERY,SAP,18.07.2012,14:01:33,Query,Query,BW Metadata: Query and Query Elements
0TCTQUERY_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:33,Query,Query,BW Metadata: Query and Query Elements
0TCTRAP,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTRAP,SAP,18.07.2012,14:01:34,RA - Packet,Reporting Agent - Packet,Reporting Agent - Packet
0TCTRAP_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:34,RA Packet,Reporting Agent - Packet,Reporting Agent - Packet
0TCTRAS,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTRAS,SAP,18.07.2012,14:01:35,RA Settings,Reporting Agent - Settings,BW Metadata: Reporting Agent - Settings
0TCTRAS_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:36,RA Settings,Reporting Agent - Settings,BW Metadata: Reporting Agent - Settings
0TCTROLE,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTROLE,SAP,18.07.2012,14:01:37,Role,Role,BW Metadata: Role
0TCTROLE_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:37,Role,Role,BW Metadata: Role
0TCTROUTINE,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTROUTINE,SAP,18.07.2012,14:01:38,ABAP Routine,ABAP Routine,BW Metadata: ABAP Routine
0TCTROUTINE_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:38,ABAP Routine,ABAP Routine,BW Metadata: ABAP Routine
0TCTRRC,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTRRC,SAP,18.07.2012,14:01:39,RRI InfoCube,RRI InfoCube,BW Metadata: Report/Report Interface InfoCube
0TCTRRC_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:40,RRI InfoCube,RRI InfoCube,BW Metadata: Report/Report Interface InfoCube
0TCTRRQ,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTRRQ,SAP,18.07.2012,14:01:41,RRI Query,RRI Query,BW Metadata: Report/Report Interface Query
0TCTRRQ_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:41,RRI Query,RRI Query,BW Metadata: Report/Report Interface Query
0TCTSOURSYS_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:46:10,Source System,Source System,BW Metadata: Source System
0TCTSOURSYS_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:43,Source System,Source System,BW Metadata: Source System
0TCTSYSID,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTSYSID,DDIC,07.01.2025,22:46:12,BW System,BW System,BW Metadata: BW System
0TCTSYSID,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTSYSID,SAP,18.07.2012,14:01:44,BW System,BW System,BW Metadata: BW System
0TCTSYSID_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:46:12,BW System,BW System,BW Metadata: BW System
0TCTSYSID_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:44,BW System,BW System,BW Metadata: BW System
0TCTTRANSRV_ATTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTTRANSRV,SAP,09.06.2010,15:50:32,Transformation Servi,BW MetaData: Transformation Services Att,BW MetaData: Transformation Services Attr
0TCTTRANSRV_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,09.06.2010,15:50:33,Transformation Servi,BW MetaData: Transformation Services Txt,BW MetaData: Transformation Services Text
0TCTTRANSTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTTRANSTR,SAP,18.07.2012,14:01:45,Transfer structure,Transfer structure,BW Metadata - Transfer Structure
0TCTTRANSTR_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:46,Transfer structure,Transfer structure,BW Metadata - Transfer Structure
0TCTUPDR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTUPDR,SAP,18.07.2012,14:01:47,Update Rule,Update rules,BW Metadata: Update Rules
0TCTUPDR_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:47,Update Rule,Update rules,BW Metadata: Update Rules
0TCTUSERNM,A,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTUSERNM,DDIC,07.01.2025,22:46:14,User,User,BW Metadata: User
0TCTUSERNM,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTUSERNM,SAP,18.07.2012,14:01:48,User,User,BW Metadata: User
0TCTUSERNM_TEXT,A,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,DDIC,07.01.2025,22:46:14,User,User,BW Metadata: User
0TCTUSERNM_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:48,User,User,BW Metadata: User
0TCTWEBITEM_ATTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTWEBITEM,SAP,09.06.2010,15:50:35,BW Meta Data: Data S,BW Meta Data: Data Source for Web Item-A,BW Meta Data: Data Source for Web Item-Attribute
0TCTWEBITEM_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,09.06.2010,15:50:36,Web Item-Text,Web Item-Text,BW Meta Data: Web Item-Text
0TCTWEBTMPL_ATTR,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTWEBTMPL,SAP,09.06.2010,15:50:36,Web Template Attr,Web Template-Attribute,BW MetaData: Web Template-Attribute
0TCTWEBTMPL_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,09.06.2010,15:50:37,Web Template - Text,Web Template - Text,BW Meta Data: Web Template - Text
0TCTWORKBK,D,ATTR,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_0TCTWORKBK,SAP,18.07.2012,14:01:50,Workbook,Workbook,BW Metadata: Workbook
0TCTWORKBK_TEXT,D,TEXT,TCT,,,F1,RSO_GET_MASTER_DATA,RSO_S_EXTR_TEXT,SAP,18.07.2012,14:01:50,Workbook,Workbook,BW Metadata: Workbook
0TCTASCTYPE_TEXT,D,TEXT,TCT,,,D,RSO_ASC_TYPE,ROTEXTSTR1,SAP,18.07.2012,14:01:12,Association Type,Association Type,BW Metadata: Association Type
0RT_RSL_ACCOUNT_TEXT,D,TEXT,IS-R-IO,,,V,RSLBCT_C_AC_T,WRSL_ACCOUNT,SAP,23.01.2007,10:18:08,Stock Ledger Account,Stock Ledger Account,Stock Ledger Account
0CB_IS_TEXT,D,TEXT,0BCT_CB_IO,,,V,RSIST,ROXB520122,SAP,13.04.2011,15:56:21,InfoSource Text,InfoSource Text,InfoSource Text
0IQM_PROC_DTPT,D,TEXT,0VERIFICATION,NEWE,X,V,RSIQMX_V_DTPT,RSIQMX_DTPT,SAP,18.07.2012,14:01:04,IQM Process from DTP,IQM Process from DTP - Texts,Process from DTP - Texts (Information Quality)
0IQM_PROC_DTP,D,ATTR,0VERIFICATION,NEWE,X,V,RSIQMX_V_DTP,RSIQMX_DTP,SAP,18.07.2012,14:01:03,IQM Process from DTP,IQM Process from DTP,Process from DTP (Information Quality)
